source,target,weight,count
PBX2,UBE3C,0.7422532043384139,1
HMGCR,TMSB10,0.6660279566961366,1
DDIAS,PRCP,0.6145334281873871,1
AASS,HMGN1,0.5331038819390663,1
MAP2K1,MTA1,0.4898780208716941,1
FEZF1,SMARCA4,0.470544595860439,1
MFGE8,SLC25A3,0.4604407595770601,1
HIST1H1B,KIF20A,0.38817733844841656,1
CENPF,MKI67,0.3800940558547751,1
CLDN6,OXCT1,0.37785646628839226,1
ANOS1,RRM1,0.3672650684865363,1
PSAT1,LRPPRC,0.36193766541819544,1
DNAJC15,DNMT1,0.33763230343940986,1
TUBA1B,NDUFB6,0.32763012360896165,1
VIM,KDM1A,0.3220789133835552,1
RYBP,DHX36,0.32116129711320895,1
DPPA5,DNMT1,0.3210853133264539,1
LDB1,DHX36,0.3179904722413721,1
ACTB,TMSB4X,0.31165297837431993,1
LGALS1,RNF2,0.31146791523832185,1
NRK,KDM1A,0.3086269436069671,1
MSMO1,INSIG1,0.29897466073656376,1
PSAT1,EIF4B,0.29113685215028595,1
DRAP1,ETV4,0.28312226831825393,1
UNC119,KDR,0.26969334159280794,1
IFRD1,EIF4B,0.2611014860876209,1
DHCR24,MBTPS1,0.2556950337930626,1
KCNK12,ZNF426,0.234034608415633,1
TERF1,MED24,0.22911008023050905,1
PLD3,GSK3B,0.22706631241410882,1
NPDC1,NISCH,0.2227430484835913,1
CRABP1,SMARCA5,0.21822558617351684,1
PFDN2,NIT1,0.21743934634313433,1
SCD,PHF10,0.21717057268116588,1
PFN1,CALM3,0.2138795121694974,1
PFN1,ATP6V0C,0.21010953975678487,1
TOP2A,CDCA2,0.2063336476744651,1
ROBO1,KLF10,0.20271913427714658,1
HMGCR,INSIG1,0.19745155229103423,1
IGFBP2,TRAPPC6A,0.19716506996994496,1
ARRB1,SMARCA5,0.19426948831864055,1
YTHDF2,METTL3,0.18897064863292798,1
SPIN4,POLB,0.18688659255201598,1
GRIK5,GSK3B,0.17807391496231864,1
LBR,KIF1B,0.17572586503064236,1
TMSB4X,SMARCA5,0.17566307093612218,1
PODXL,MED13,0.1752732246147911,1
HSP90AB1,C1QBP,0.17482341957151656,1
CD151,POLB,0.1737863614276605,1
KIF1A,SUPT4H1,0.17261443140638796,1
PDK2,IGF2R,0.17227354971742403,1
FASTKD1,SV2A,0.17060601569157147,1
PODXL,MED12,0.16160263381833284,1
SRP9,PHF10,0.16155192946565974,1
EMD,WSB2,0.16134963174456401,1
DCTD,MTA1,0.1579504968675163,1
HIST1H1B,SIX4,0.15564615342682345,1
PSAT1,TFAM,0.15474749262587817,1
COL1A1,ATP1B1,0.15425439668450458,1
NDUFB10,HSBP1,0.15384124048495096,1
FADS2,MBTPS1,0.15172591376934205,1
