source,target,weight,count
PBX2,UBE3C,0.739040544597012,1
HMGCR,TMSB10,0.6576917057175049,1
DDIAS,PRCP,0.6059801590383282,1
AASS,HMGN1,0.5276739017132468,1
MAP2K1,MTA1,0.4880214259369234,1
FEZF1,SMARCA4,0.46869647869270153,1
MFGE8,SLC25A3,0.4541733100557927,1
HIST1H1B,KIF20A,0.3846599025898696,1
CENPF,MKI67,0.38351378802367697,1
CLDN6,OXCT1,0.3685380440919682,1
IREB2,NISCH,0.36349937295949514,1
DNAJC15,DNMT1,0.35955036764911363,1
PSAT1,LRPPRC,0.35667135198155075,1
ANOS1,RRM1,0.35189093548673467,1
VIM,KDM1A,0.32541708443040945,1
RYBP,DHX36,0.3208722461727753,1
TUBA1B,NDUFB6,0.3154457647069427,1
LDB1,DHX36,0.3078731620926298,1
NRK,KDM1A,0.3009897884458875,1
ORMDL1,PMS1,0.298256287437592,1
LGALS1,RNF2,0.2980181886209364,1
MSMO1,INSIG1,0.29640610369970205,1
DPPA5,DNMT1,0.2889410703792412,1
PSAT1,EIF4B,0.2838700871469743,1
UNC119,KDR,0.2690431269170039,1
DRAP1,ETV4,0.2590815803906269,1
IFRD1,EIF4B,0.254572801892395,1
DHCR24,MBTPS1,0.2492514873832972,1
ACTG1,TMSB4X,0.24158387182080412,1
PRDX3,MAPKAPK2,0.2383188259774535,1
KCNK12,ZNF426,0.22588648735479508,1
TERF1,MED24,0.2233022436056287,1
CRABP1,SMARCA5,0.22153667591743245,1
SCD,PHF10,0.21546272343482195,1
PFDN2,NIT1,0.21328180226174848,1
PFN1,CALM3,0.2070933773653281,1
PFN1,ATP6V0C,0.20535642976600854,1
IGFBP2,TRAPPC6A,0.2037032407744414,1
BCL2L12,IRF3,0.20294118136033398,1
ROBO1,KLF10,0.19843228037754929,1
HMGCR,INSIG1,0.19443142143385708,1
ARRB1,SMARCA5,0.18830214905683657,1
SPIN4,POLB,0.1855398604013729,1
YTHDF2,METTL3,0.18453673437611764,1
PLD3,GSK3B,0.1833226816838134,1
TMSB4X,SMARCA5,0.17713619461758429,1
LAGE3,HMGB2,0.17509104131236067,1
GRIK5,GSK3B,0.1722743087770107,1
CD151,POLB,0.17196368358427877,1
ACTB,TMSB4X,0.16960787175106296,1
PODXL,MED13,0.16959528633105056,1
FNTA,SAFB,0.16848312687351633,1
FASTKD1,SV2A,0.16677287137053357,1
HSP90AB1,C1QBP,0.166628507960072,1
TOP2A,CDCA2,0.16624858778183838,1
KIF1A,SUPT4H1,0.16551561838101822,1
PDK2,IGF2R,0.1645572742849595,1
PODXL,MED12,0.16385347532318006,1
LBR,KIF1B,0.1604734135372767,1
SRP9,PHF10,0.16045881993713948,1
PTRHD1,CENPO,0.15916858308009948,1
EMD,WSB2,0.1538478614075144,1
HIST1H1B,SIX4,0.15329651784142037,1
COL1A1,ATP1B1,0.15199441528539792,1
PSAT1,TFAM,0.15193582903048033,1
DCTD,MTA1,0.15036458845845413,1
SP1,ACAT2,0.14998038611501546,1
FASN,ACAT2,0.14955400390016507,1
TMBIM4,CENPO,0.14681867749911778,1
NDUFB10,HSBP1,0.1466055261259407,1
FADS2,MBTPS1,0.14468805942977006,1
GJA1,AKT2,0.14444859817947217,1
FASN,FDPS,0.1437350887530843,1
PDLIM1,PTPN1,0.14353556647932378,1
S100A11,NRAS,0.1381904619042211,1
KCTD9,CDCA2,0.13695739662542986,1
PODXL,TADA1,0.1356527753516902,1
POLR2G,WFS1,0.13371689252656513,1
DNMT3B,PRDM14,0.1335502095382655,1
NCKAP1,CASP3,0.13230194457506814,1
AK4,SOX2,0.13140955978068644,1
ARHGAP23,DLG5,0.1297326181444981,1
ERC1,NRAS,0.12954952777590287,1
TM2D2,TSC22D4,0.12952626410331436,1
DEDD,BIRC2,0.12675699455909406,1
GRIK5,PHF14,0.12316129910806208,1
YTHDF2,METTL14,0.12235562931357899,1
FAR2,SAFB,0.11811366448185735,1
CXCL12,KDR,0.11524830629409583,1
AASS,STAG2,0.11349140103153048,1
C11orf80,CASP3,0.11250023985410185,1
TMEM167A,XRCC4,0.11206089754049575,1
PHC1,MED13,0.11162981311949985,1
SNCA,TWF2,0.11138832756486816,1
PYCR1,HMGB2,0.11114869292442611,1
ZNF483,AKT2,0.1108878528978976,1
PSAT1,SEC62,0.10950453743114698,1
SSR3,TMBIM6,0.10944512690914204,1
BMI1,RNF2,0.10893323044933252,1
CDK1,CDCA2,0.10862439361247901,1
PCDH1,HIRA,0.10839616105815948,1
KIF23,CDCA2,0.10774050767515418,1
SNHG32,NREP,0.10615054021580854,1
NUCKS1,MAPKAPK2,0.10550155515275636,1
UBA3,DAXX,0.10468408931964934,1
IGFBP2,TAF13,0.10280305912215777,1
TTPAL,NRAS,0.10279162135074459,1
TMEM141,STX4,0.10277659682827552,1
PLK1,CDCA2,0.10233239326421038,1
MT-ND6,LRPPRC,0.10155855700352126,1
QPRT,PHF14,0.10054283766402182,1
EEF2,EPHB4,0.09960637274064749,1
TUBA1B,NDUFB4,0.09901503332215354,1
BCL10,DLG5,0.0964141961612651,1
VAT1,ARID1A,0.09622038054626554,1
QPRT,GSK3B,0.09568124228048304,1
TOP2A,BRD9,0.09537349198465153,1
PTMS,NREP,0.09424253493603524,1
PFN1,CREG1,0.09414225587811068,1
CLDN6,TMBIM6,0.09324301963923444,1
NDUFAF2,ZNF714,0.09292241552311441,1
CNFN,AKT2,0.09213563783623345,1
PHC1,MED24,0.09017257043748178,1
CDK1,PRR12,0.0896046166846851,1
SCRN1,STAT1,0.08927894458127054,1
SPATC1L,STAT1,0.08870688520942992,1
TUBB2A,EID2,0.08853378356758496,1
ELP2,SLC39A6,0.08851752731205728,1
