source,target,weight,count
PBX2,UBE3C,0.6455125301111836,1
HMGCR,TMSB10,0.6220354669508961,1
DDIAS,PRCP,0.5140728279205525,1
DNAJC15,DNMT1,0.5098184786719919,1
AASS,HMGN1,0.48437035198937634,1
MAP2K1,MTA1,0.4814190966168769,1
LDB1,DHX36,0.45789359228372584,1
FEZF1,SMARCA4,0.4552847731983115,1
MFGE8,SLC25A3,0.3867920329695813,1
NRK,KDM1A,0.3573078242937541,1
CENPF,MKI67,0.3312329808876051,1
PSAT1,LRPPRC,0.32471737281070745,1
HIST1H1B,KIF20A,0.30908209895412886,1
IREB2,NISCH,0.2990855479447602,1
ANOS1,RRM1,0.2747450180781097,1
PSAT1,EIF4B,0.26815038453011686,1
LGALS1,RNF2,0.26653827709703637,1
CLDN6,OXCT1,0.26413877296853405,1
ORMDL1,PMS1,0.2352881062882396,1
MSMO1,INSIG1,0.2343556767694177,1
TUBA1B,NDUFB6,0.23340513907830768,1
UNC119,KDR,0.2309223387623092,1
IFRD1,EIF4B,0.22968692717220737,1
VIM,KDM1A,0.21866329718983193,1
HMGCR,INSIG1,0.21528200432922984,1
DRAP1,ETV4,0.20643847053964998,1
ARRB1,SMARCA5,0.19416841175737226,1
TMSB4X,SMARCA5,0.18164288603648956,1
ACTG1,TMSB4X,0.17804551866191567,1
PRDX3,MAPKAPK2,0.17720658719457003,1
PLD3,GSK3B,0.17359074066402594,1
IGFBP2,TRAPPC6A,0.17052424422236748,1
TERF1,MED24,0.16693775451935927,1
SCD,PHF10,0.16629739523288883,1
RYBP,DHX36,0.16513668740208956,1
PFN1,CALM3,0.1618155693759423,1
KCNK12,ZNF426,0.16082667675130516,1
LAGE3,HMGB2,0.15141698638191192,1
PFDN2,NIT1,0.14650421802831817,1
BCL2L12,IRF3,0.1458398913111104,1
ROBO1,KLF10,0.14363225511485184,1
PFN1,ATP6V0C,0.14137228339151234,1
CRABP1,SMARCA5,0.13850311903388537,1
KIF1A,SUPT4H1,0.13751858290977917,1
CD151,POLB,0.13740338553381506,1
QPRT,GSK3B,0.13696916356548067,1
AK4,SOX2,0.13686148666415346,1
SP1,ACAT2,0.1367161101332202,1
PODXL,MED13,0.13596525273265472,1
SPIN4,POLB,0.135071832220013,1
HSP90AB1,C1QBP,0.13443979294747826,1
YTHDF2,METTL3,0.13112827091167883,1
SCD,MBTPS1,0.13068265054406902,1
FNTA,SAFB,0.1295930545548099,1
PSAT1,TFAM,0.126332260716764,1
NDUFB10,HSBP1,0.12586468903847273,1
SRP9,PHF10,0.12582281113867017,1
KCTD9,CDCA2,0.12487225695187433,1
EMD,WSB2,0.12480460449784354,1
CDK1,CDCA2,0.12340587695384247,1
FASTKD1,SV2A,0.12238623268667638,1
PDK2,IGF2R,0.12134607400039313,1
FASN,ACAT2,0.12131575949161218,1
TOP2A,CDCA2,0.12109191493779718,1
TMBIM4,CENPO,0.1207179443607831,1
PLK1,CDCA2,0.1155822009746781,1
PTRHD1,CENPO,0.11529499922536306,1
PODXL,MED12,0.11425840710370981,1
NCKAP1,CASP3,0.11359790124588579,1
LBR,KIF1B,0.11179781098697004,1
S100A11,NRAS,0.11038779445763242,1
ACTB,TMSB4X,0.10958161285242018,1
DNMT3B,PRDM14,0.10668835050483266,1
DHCR24,MBTPS1,0.10603866909421857,1
COL1A1,ATP1B1,0.10340966769566741,1
GJA1,AKT2,0.10230231468737522,1
SNHG32,NREP,0.10161629248060843,1
ERC1,NRAS,0.10014632483934892,1
FADS2,MBTPS1,0.09860639800684043,1
BMI1,RNF2,0.09825061773391422,1
PCDH1,HIRA,0.09744752876244765,1
CXCL12,KDR,0.09740036141241713,1
GRIK5,PHF14,0.09711428425861363,1
DCTD,MTA1,0.09660400696223576,1
C11orf80,CASP3,0.09464369889405444,1
FASN,FDPS,0.09389158943584178,1
PYCR1,HMGB2,0.09370477635850313,1
FAR2,SAFB,0.09278946397754587,1
ARHGAP23,DLG5,0.0916797552271171,1
AASS,STAG2,0.09124674490210267,1
PTMS,NREP,0.0888583474560517,1
NUCKS1,MAPKAPK2,0.08757667722168434,1
TM2D2,TSC22D4,0.08660387843036921,1
PDLIM1,PTPN1,0.08591667304503997,1
IGFBP2,TAF13,0.08576260848875163,1
SNCA,TWF2,0.08536112888496981,1
SALL3,SMARCA5,0.08520454019816509,1
PSAT1,SEC62,0.08515348933432856,1
POLR2G,WFS1,0.08442054240736602,1
CASP8AP2,NREP,0.08168838150797543,1
PHC1,MED13,0.0811687050889887,1
SSR3,TMBIM6,0.08113748458605251,1
TTPAL,NRAS,0.08108624665553056,1
CNFN,AKT2,0.07869321066855992,1
DEDD,BIRC2,0.07809670227335316,1
PODXL,TADA1,0.07795812034722888,1
MT-ND6,LRPPRC,0.0775709122663459,1
QPRT,PHF14,0.07686809437809554,1
ZNF483,AKT2,0.07511155529189519,1
YTHDF2,METTL14,0.07485195648605632,1
UBA3,DAXX,0.07479291840073762,1
TUBA1B,NDUFB4,0.07364185693972516,1
VAT1,ARID1A,0.07336808378064691,1
BCL10,DLG5,0.07190523754005781,1
PLK1,KIF20A,0.0706611097969942,1
HIST1H1B,SIX4,0.0704636202304718,1
TOP2A,BRD9,0.07014628719614925,1
SCD,SV2A,0.07009721588188192,1
TMEM167A,XRCC4,0.06988018925909253,1
IGFBP2,SNCA,0.06900266104686019,1
ELP2,SLC39A6,0.06767690700647527,1
VASH2,STAG2,0.06760662454039539,1
NPDC1,NISCH,0.06682409011311774,1
ALDH16A1,HMGB2,0.06667334901649191,1
ITGB5,FOXH1,0.06653427592102139,1
EEF2,EPHB4,0.06634892350715053,1
TOP2A,MKI67,0.0662922068279255,1
SLC35B1,SIN3B,0.06624963254463169,1
CLDN6,TMBIM6,0.0650909492356116,1
NDUFAF2,ZNF714,0.06503343704227267,1
SEPHS1,ETV4,0.06491120320607738,1
PFN1,CREG1,0.06473175115310344,1
TMEM141,STX4,0.06465794791360861,1
CDK1,DAXX,0.06460878539230541,1
TOP1,INSIG1,0.06434884476718385,1
SPATC1L,WSB2,0.0641064055660271,1
HIST1H1C,KIF20A,0.06389065681119899,1
GRIK5,GSK3B,0.06342498283531132,1
CDK1,PRR12,0.06328253212475463,1
DNMT3B,SALL4,0.06286979699819964,1
SPATC1L,STAT1,0.06280294081955361,1
PLK1,MKI67,0.06160905590753762,1
BEX1,SMARCA5,0.06087498334189349,1
SCGB3A2,HMGN1,0.06010506659624151,1
DCXR,TET1,0.06002656988597591,1
OPN3,SAFB,0.059954851760389394,1
HIST1H1C,XRCC4,0.05896733195644064,1
HELB,STAT1,0.05856870171510402,1
RAB15,EPB41L2,0.05820085277446876,1
HSPA8,SIX4,0.05815163782376278,1
CCNB1,KIF20A,0.0581149121284837,1
GJA1,CLDN6,0.058084367175315996,1
SCRN1,STAT1,0.057938688476725675,1
EIF5B,TXNDC9,0.05737855276431074,1
POU5F1,USP22,0.0573667809919961,1
ACSS2,SNCA,0.05727075952530752,1
TOP2A,NISCH,0.05711721681628974,1
DYNLL2,SV2A,0.05689747456449391,1
APOE,PMEL,0.05666308289583616,1
C4orf3,SNCA,0.05646980949005205,1
SCD,DHCR24,0.05615617980177908,1
ZFP42,TRAPPC6A,0.05605745623420811,1
MFGE8,TADA1,0.055975339657697895,1
CDK1,MKI67,0.05565464173521305,1
POU5F1,MED13,0.05539628208295017,1
TRIM46,HMGB2,0.054830836418023415,1
TUBB2A,EID2,0.05460952031364032,1
RBPJ,PHF14,0.05423287675149028,1
HSP90AB1,CLDN7,0.054194162413635366,1
GALK1,RRM1,0.05417370536021583,1
NARF,ACVR1B,0.054076340432304436,1
CDK1,SIX4,0.053945781775279665,1
PHC1,MED24,0.05289389015927082,1
ZIC1,SMARCA4,0.052880003060234805,1
MIF,HSBP1,0.052573936333843906,1
GPR176,MED13,0.052267966506681085,1
SRSF2,TFAM,0.052079211089962885,1
HSP90AB1,IRF3,0.05129233499419405,1
ACAT2,FDPS,0.051016995400397024,1
EEF2,SDC1,0.050777609715350294,1
FAM162A,TET1,0.05072248643505839,1
LIPA,EID2,0.050705412907991555,1
PSAT1,METTL17,0.050659199044159914,1
KIF23,CDCA2,0.050560969881495305,1
TERF1,MED12,0.05041573374289456,1
HIST1H1B,KLF10,0.05011591367321906,1
FAM53C,HIRA,0.04998505633976698,1
CD24,TAF13,0.04986482510991127,1
DPPA5,DNMT1,0.049852769520929124,1
HAPLN3,SLC25A3,0.04851354111355447,1
EPPK1,SAFB,0.04840922295770282,1
HSP90AB1,ACAT2,0.0473544102876626,1
PTPRZ1,STAG2,0.04708174624575163,1
KRT8,WFS1,0.04675794531586233,1
SEPHS1,SUPT4H1,0.04675615600078598,1
ID3,TCF3,0.046723323000316605,1
HJURP,CDCA2,0.04632748010933284,1
MTHFD2,EPB41L2,0.04613505580538898,1
PSAT1,MAP1B,0.04612547687793768,1
NKX1-2,KIF1B,0.046083106691277916,1
HIST1H2BH,ACVR1B,0.04607063553337785,1
MCM4,HAT1,0.04587826189102188,1
CYP2S1,IKBKG,0.045858287165910276,1
NUCKS1,DAXX,0.0456851718377845,1
CTSC,ATP6V0B,0.0455237104872149,1
IGFBP2,SUPT4H1,0.044787710678038904,1
NDUFA4,PHF14,0.04476973764065517,1
ACSS2,ACAT2,0.04469182463823026,1
ZNF664,FOXH1,0.04393168171521087,1
IDH3B,SIN3B,0.043879412826241915,1
PFN1,ATP6V0B,0.04387813170944238,1
DPYSL3,SOX2,0.043823596164771786,1
MT1F,RNF2,0.043766542980610425,1
ACAA2,SMAGP,0.04361067761243969,1
SLC7A11,MAP1B,0.043582231542213065,1
FADS2,DHCR24,0.04303526696930601,1
CNMD,SOX2,0.04301942286186426,1
HIST1H2BH,RRM1,0.042947660818545993,1
EEF2,MED1,0.04285179905734972,1
TPX2,MKI67,0.04284206480161138,1
EEF2,SEC62,0.042770774798140586,1
CHD4,RNF2,0.04196612953023452,1
BCOR,SOX2,0.041723571765279785,1
NDUFB9,ATP6V0C,0.04153521894572048,1
TTC21B,HSBP1,0.04138005668025025,1
PSAT1,UQCRQ,0.041292902115313904,1
G6PD,IKBKG,0.04119605766843031,1
TERF1,MED13,0.0411080721159107,1
HMGCS1,INSIG1,0.04104647180000206,1
ERG28,ACAT2,0.04094077686611499,1
IGFBP2,LAD1,0.04014659305690802,1
HSP90AB1,SMARCA4,0.0401416711934794,1
PFN1,EWSR1,0.04009521088011503,1
HSP90AB1,CALM3,0.040089788532319016,1
LAPTM4B,ATP6V0B,0.04008684879940512,1
TUBA1B,TMBIM6,0.039993554272964776,1
LDLR,INSIG1,0.039334002139129666,1
IDS,DHCR24,0.039261212704525435,1
